Player_Name,Hero_Pick,Player_Role,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Aboy,Luo Yi,Midlane,"[0.43, 0.57, 0]","[0, 0.94, 0.06]","[0, 0, 1.0]","[0, 0.68, 0.32]","[0, 0.9, 0.1]","[0, 0.52, 0.48]","[1.0, 0, 0]"
Clawkun,Novaria,Midlane,"[0, 0.36, 0.64]","[0, 0.03, 0.97]","[0, 0, 1.0]","[0.02, 0.98, 0]","[0, 0.35, 0.65]","[0.49, 0.51, 0]","[0.75, 0.25, 0]"
Aboy,Luo Yi,Midlane,"[0.32, 0.68, 0]","[0, 0.12, 0.88]","[0, 0, 1.0]","[0, 0.88, 0.12]","[0, 0.8, 0.2]","[0, 0.12, 0.88]","[0, 0.39, 0.61]"
Sanz,Pharsa,Midlane,"[0, 0.91, 0.09]","[0, 1.0, 0.0]","[0, 0, 1.0]","[0.09, 0.91, 0]","[0, 0.84, 0.16]","[0.66, 0.34, 0]","[0, 0.93, 0.07]"
Clawkun,Valentina,Midlane,"[0, 0.63, 0.37]","[0.4, 0.6, 0]","[0, 0, 1.0]","[0, 0.54, 0.46]","[0.6, 0.4, 0]","[0, 0.83, 0.17]","[0, 1.0, 0.0]"
Sanz,Pharsa,Midlane,"[0, 0.45, 0.55]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.09, 0.91, 0]","[0.18, 0.82, 0]","[0.53, 0.47, 0]","[0.49, 0.51, 0]"
Clawkun,Valentina,Midlane,"[0.61, 0.39, 0]","[0, 1.0, 0.0]","[0, 0, 1.0]","[0, 0.54, 0.46]","[0, 0.99, 0.01]","[0, 0.61, 0.39]","[0, 0.93, 0.07]"
Sanz,Pharsa,Midlane,"[0, 0.45, 0.55]","[0, 0.59, 0.41]","[0, 0, 1.0]","[0.14, 0.86, 0]","[0, 0.89, 0.11]","[0.14, 0.86, 0]","[0, 0.96, 0.04]"
Clawkun,Valentina,Midlane,"[0.74, 0.26, 0]","[0, 0.77, 0.23]","[0, 0, 1.0]","[0, 0.88, 0.12]","[0, 0.95, 0.05]","[0, 0.54, 0.46]","[0, 0.94, 0.06]"
Clawkun,Faramis,Midlane,"[0, 0.36, 0.64]","[0, 0.99, 0.01]","[0, 0, 1.0]","[0, 0.88, 0.12]","[0.03, 0.97, 0]","[0, 0.86, 0.14]","[0, 0.89, 0.11]"
