Role,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret,Performance
Roamer,low,medium,NaN,medium,NaN,low,NaN,decent
Roamer,low,medium,NaN,medium,NaN,medium,NaN,decent
Roamer,low,medium,NaN,medium,NaN,high,NaN,decent
Roamer,low,medium,NaN,high,NaN,low,NaN,bad
Roamer,low,medium,NaN,high,NaN,medium,NaN,decent
Roamer,low,medium,NaN,high,NaN,high,NaN,good
Roamer,low,high,NaN,low,NaN,low,NaN,bad
Roamer,low,high,NaN,low,NaN,medium,NaN,bad
Roamer,low,high,NaN,low,NaN,high,NaN,good
Roamer,low,high,NaN,medium,NaN,low,NaN,bad
Roamer,low,high,NaN,medium,NaN,medium,NaN,decent
Roamer,low,high,NaN,medium,NaN,high,NaN,good
Roamer,low,high,NaN,high,NaN,low,NaN,good
Roamer,low,high,NaN,high,NaN,medium,NaN,good
Roamer,low,high,NaN,high,NaN,high,NaN,good
Roamer,medium,low,NaN,low,NaN,low,NaN,bad
Roamer,medium,low,NaN,low,NaN,medium,NaN,decent
Roamer,medium,low,NaN,low,NaN,high,NaN,bad
Roamer,medium,low,NaN,medium,NaN,low,NaN,decent
Roamer,medium,low,NaN,medium,NaN,medium,NaN,decent
Roamer,medium,low,NaN,medium,NaN,high,NaN,decent
Roamer,medium,low,NaN,high,NaN,low,NaN,bad
Roamer,medium,low,NaN,high,NaN,medium,NaN,decent
Roamer,medium,low,NaN,high,NaN,high,NaN,good
Roamer,medium,medium,NaN,low,NaN,low,NaN,decent
Roamer,medium,medium,NaN,low,NaN,medium,NaN,decent
Roamer,medium,medium,NaN,low,NaN,high,NaN,decent
Roamer,medium,medium,NaN,medium,NaN,low,NaN,decent
Roamer,medium,medium,NaN,medium,NaN,medium,NaN,decent
Roamer,medium,medium,NaN,medium,NaN,high,NaN,decent
Roamer,medium,medium,NaN,high,NaN,low,NaN,decent
Roamer,medium,medium,NaN,high,NaN,medium,NaN,decent
Roamer,medium,medium,NaN,high,NaN,high,NaN,good
Roamer,medium,high,NaN,low,NaN,low,NaN,bad
Roamer,medium,high,NaN,low,NaN,medium,NaN,decent
Roamer,medium,high,NaN,low,NaN,high,NaN,good
Roamer,medium,high,NaN,medium,NaN,low,NaN,decent
Roamer,medium,high,NaN,medium,NaN,medium,NaN,decent
Roamer,medium,high,NaN,medium,NaN,high,NaN,good
Roamer,medium,high,NaN,high,NaN,low,NaN,good
Roamer,medium,high,NaN,high,NaN,medium,NaN,good
Roamer,medium,high,NaN,high,NaN,high,NaN,good
Roamer,high,low,NaN,low,NaN,low,NaN,bad
Roamer,high,low,NaN,low,NaN,medium,NaN,bad
Roamer,high,low,NaN,low,NaN,high,NaN,good
Roamer,high,low,NaN,medium,NaN,low,NaN,bad
Roamer,high,low,NaN,medium,NaN,medium,NaN,decent
Roamer,high,low,NaN,medium,NaN,high,NaN,good
Roamer,high,low,NaN,high,NaN,low,NaN,good
Roamer,high,low,NaN,high,NaN,medium,NaN,good
Roamer,high,low,NaN,high,NaN,high,NaN,good
Roamer,high,medium,NaN,low,NaN,low,NaN,bad
Roamer,high,medium,NaN,low,NaN,medium,NaN,decent
Roamer,high,medium,NaN,low,NaN,high,NaN,good
Roamer,high,medium,NaN,medium,NaN,low,NaN,decent
Roamer,high,medium,NaN,medium,NaN,medium,NaN,decent
Roamer,high,medium,NaN,medium,NaN,high,NaN,good
Roamer,high,medium,NaN,high,NaN,low,NaN,good
Roamer,high,medium,NaN,high,NaN,medium,NaN,good
Roamer,high,medium,NaN,high,NaN,high,NaN,good
Roamer,high,high,NaN,low,NaN,low,NaN,good
Roamer,high,high,NaN,low,NaN,medium,NaN,good
Roamer,high,high,NaN,low,NaN,high,NaN,good
Roamer,high,high,NaN,medium,NaN,low,NaN,good
Roamer,high,high,NaN,medium,NaN,medium,NaN,good
Roamer,high,high,NaN,medium,NaN,high,NaN,good
Roamer,high,high,NaN,high,NaN,low,NaN,good
Roamer,high,high,NaN,high,NaN,medium,NaN,good
Roamer,high,high,NaN,high,NaN,high,NaN,good
